IndoorTemperature,2015-12-02T11:59:52.599762Z,24.100000
Pressure,2015-12-02T11:59:52.714401Z,102393
Humidity,2015-12-02T11:59:55.874667Z,41
Temperature,2015-12-02T11:59:55.875369Z,28.400000
Temperature,2015-12-02T12:59:25.970184Z,27.600000
Humidity,2015-12-02T12:59:25.970996Z,41
IndoorTemperature,2015-12-02T12:59:52.213238Z,24.200000
Pressure,2015-12-02T12:59:52.329609Z,102310
Temperature,2015-12-02T13:59:31.059481Z,27.400000
Humidity,2015-12-02T13:59:31.060347Z,36
IndoorTemperature,2015-12-02T13:59:52.193529Z,24.200000
Pressure,2015-12-02T13:59:52.309869Z,102234
Temperature,2015-12-02T14:59:36.180066Z,29.100000
Humidity,2015-12-02T14:59:36.180119Z,34
IndoorTemperature,2015-12-02T14:59:51.643875Z,24.100000
Pressure,2015-12-02T14:59:51.758017Z,102191
Humidity,2015-12-02T15:59:41.148304Z,36
Temperature,2015-12-02T15:59:41.148376Z,27.200000
IndoorTemperature,2015-12-02T15:59:51.714701Z,23.600000
Pressure,2015-12-02T15:59:51.825494Z,102149
Temperature,2015-12-02T16:59:46.329292Z,23.100000
Humidity,2015-12-02T16:59:46.329397Z,39
IndoorTemperature,2015-12-02T16:59:51.503146Z,23.300000
Pressure,2015-12-02T16:59:51.613691Z,102148
IndoorTemperature,2015-12-02T17:59:50.988721Z,23.100000
Pressure,2015-12-02T17:59:51.000291Z,102200
Temperature,2015-12-02T17:59:51.351472Z,20.400000
Humidity,2015-12-02T17:59:51.353334Z,45
IndoorTemperature,2015-12-02T18:59:50.138467Z,23.000000
Pressure,2015-12-02T18:59:50.293472Z,102224
Temperature,2015-12-02T18:59:56.503691Z,19.400000
Humidity,2015-12-02T18:59:56.504143Z,54
Temperature,2015-12-02T19:59:26.578559Z,18.300000
Humidity,2015-12-02T19:59:26.578767Z,57
IndoorTemperature,2015-12-02T19:59:48.487121Z,23.000000
Pressure,2015-12-02T19:59:48.636168Z,102208
Temperature,2015-12-02T20:59:31.691953Z,17.900000
Humidity,2015-12-02T20:59:31.692788Z,59
IndoorTemperature,2015-12-02T20:59:47.659282Z,23.400000
Pressure,2015-12-02T20:59:47.812169Z,102205
Temperature,2015-12-02T21:59:36.803376Z,17.300000
Humidity,2015-12-02T21:59:36.803430Z,58
IndoorTemperature,2015-12-02T21:59:47.718255Z,23.400000
Pressure,2015-12-02T21:59:47.831629Z,102194
Temperature,2015-12-02T22:59:41.900910Z,16.700000
Humidity,2015-12-02T22:59:41.901680Z,56
IndoorTemperature,2015-12-02T22:59:47.294454Z,23.400000
Pressure,2015-12-02T22:59:47.499785Z,102144
Temperature,2015-12-02T23:59:46.896174Z,16.200000
Humidity,2015-12-02T23:59:47.013486Z,58
