CSCO	2020-10-01	39.1	39.31	38.57	38.8	20763541
CSCO	2020-10-02	38.05	38.55	37.97	38.27	24492961
CSCO	2020-10-05	38.48	38.79	38.28	38.57	26929054
CSCO	2020-10-06	38.5	39.35	38.4	38.57	28430813
CSCO	2020-10-07	38.98	39.58	38.78	39.4	20593711
CSCO	2020-10-08	39.8	40.18	39.66	39.79	19031346
CSCO	2020-10-09	40.15	40.23	39.72	39.85	16167474
CSCO	2020-10-12	39.93	40.53	39.63	40.36	22757245
CSCO	2020-10-13	40.54	40.61	39.71	39.81	23438266
CSCO	2020-10-14	39.85	40.42	39.76	39.89	16444686
CSCO	2020-10-15	39.47	40	39.35	39.97	15456971
CSCO	2020-10-16	39.88	40.3	39.55	40.16	21295117
CSCO	2020-10-19	40.15	40.38	39.16	39.3	19600466
CSCO	2020-10-20	39.44	39.51	39.03	39.2	16564890
CSCO	2020-10-21	39.31	39.57	38.98	39.06	17016266
CSCO	2020-10-22	38.85	38.96	38.38	38.82	20399040
CSCO	2020-10-23	38.93	38.97	38.65	38.82	15556084
CSCO	2020-10-26	38.4	38.43	37.15	37.67	29146548
CSCO	2020-10-27	37.38	37.5	36.59	36.87	37911471
CSCO	2020-10-28	36.32	36.51	35.68	35.71	34561490
CSCO	2020-10-29	35.51	36.07	35.28	35.69	35331966
CSCO	2020-10-30	35.6	35.93	35.49	35.9	29159659
NFLX	2020-10-01	506.03	529.55	503.6	527.51	8153710
NFLX	2020-10-02	516.43	526.37	502.7	503.06	6071165
NFLX	2020-10-05	506.8	520.99	501.7	520.65	4088069
NFLX	2020-10-06	518.72	521.82	504.16	505.87	4199034
NFLX	2020-10-07	518	536.49	515.82	534.66	7988683
NFLX	2020-10-08	533.48	535	524.15	531.79	5386488
NFLX	2020-10-09	537.83	544.28	535	539.44	4781259
NFLX	2020-10-12	548.81	551.81	538.24	539.81	5391074
NFLX	2020-10-13	540.56	557.65	537.2	554.09	5602498
NFLX	2020-10-14	562.61	572.49	541	541.45	9510081
NFLX	2020-10-15	545.52	551.22	535.1	541.94	5113126
NFLX	2020-10-16	549.5	554.33	530.03	530.79	6347363
NFLX	2020-10-19	537.07	541.8	525.38	530.72	7567506
NFLX	2020-10-20	528.14	533.78	522.26	525.42	10047175
NFLX	2020-10-21	501.03	506.85	488.25	489.05	17405708
NFLX	2020-10-22	494.69	495.14	482	485.23	6997922
NFLX	2020-10-23	488.11	490.06	481.35	488.28	4927862
NFLX	2020-10-26	487.03	496.82	478.9	488.24	6186087
NFLX	2020-10-27	490.01	490.49	482.93	488.93	3627175
NFLX	2020-10-28	486.36	494	483.28	486.24	5992731
NFLX	2020-10-29	488.5	513.9	479.34	504.21	11120689
NFLX	2020-10-30	502.01	505.88	472.21	475.74	7813897
