15/08/14,Porto,Maritimo,2,0
16/08/14,Academica,Sp Lisbon,1,1
16/08/14,Gil Vicente,Guimaraes,1,3
17/08/14,Benfica,Pacos Ferreira,2,0
17/08/14,Nacional,Moreirense,0,1
17/08/14,Penafiel,Belenenses,1,3
17/08/14,Rio Ave,Setubal,2,0
17/08/14,Sp Braga,Boavista,3,0
18/08/14,Arouca,Estoril,1,1
22/08/14,Guimaraes,Penafiel,3,0
23/08/14,Maritimo,Academica,2,1
23/08/14,Pacos Ferreira,Porto,0,1
23/08/14,Sp Lisbon,Arouca,1,0
24/08/14,Belenenses,Nacional,3,1
24/08/14,Boavista,Benfica,0,1
24/08/14,Estoril,Rio Ave,1,5
24/08/14,Setubal,Gil Vicente,2,0
25/08/14,Moreirense,Sp Braga,0,0
29/08/14,Academica,Setubal,1,1
30/08/14,Belenenses,Guimaraes,0,3
30/08/14,Sp Braga,Estoril,2,1
31/08/14,Benfica,Sp Lisbon,1,1
31/08/14,Gil Vicente,Maritimo,1,2
31/08/14,Nacional,Arouca,2,0
31/08/14,Penafiel,Pacos Ferreira,0,1
31/08/14,Porto,Moreirense,3,0
01/09/14,Rio Ave,Boavista,4,0
12/09/14,Setubal,Benfica,0,5
13/09/14,Arouca,Sp Braga,1,0
13/09/14,Moreirense,Rio Ave,1,1
13/09/14,Sp Lisbon,Belenenses,1,1
14/09/14,Boavista,Academica,1,0
14/09/14,Estoril,Nacional,2,1
14/09/14,Guimaraes,Porto,1,1
14/09/14,Maritimo,Penafiel,2,0
14/09/14,Pacos Ferreira,Gil Vicente,1,1
19/09/14,Guimaraes,Pacos Ferreira,1,1
20/09/14,Nacional,Sp Braga,1,1
20/09/14,Penafiel,Setubal,2,0
21/09/14,Belenenses,Maritimo,1,0
21/09/14,Benfica,Moreirense,3,1
21/09/14,Gil Vicente,Sp Lisbon,0,4
21/09/14,Porto,Boavista,0,0
21/09/14,Rio Ave,Arouca,1,2
22/09/14,Academica,Estoril,2,2
26/09/14,Sp Lisbon,Porto,1,1
27/09/14,Estoril,Benfica,2,3
27/09/14,Sp Braga,Rio Ave,3,0
28/09/14,Arouca,Academica,0,1
28/09/14,Boavista,Gil Vicente,3,2
28/09/14,Maritimo,Guimaraes,4,0
28/09/14,Moreirense,Penafiel,0,0
28/09/14,Setubal,Nacional,2,0
29/09/14,Pacos Ferreira,Belenenses,2,0
03/10/14,Guimaraes,Boavista,3,0
04/10/14,Penafiel,Sp Lisbon,0,4
05/10/14,Academica,Moreirense,0,0
05/10/14,Belenenses,Setubal,1,1
05/10/14,Benfica,Arouca,4,0
05/10/14,Gil Vicente,Estoril,1,1
05/10/14,Nacional,Rio Ave,0,0
05/10/14,Pacos Ferreira,Maritimo,3,2
05/10/14,Porto,Sp Braga,2,1
24/10/14,Setubal,Guimaraes,0,1
25/10/14,Arouca,Porto,0,5
25/10/14,Boavista,Pacos Ferreira,1,2
25/10/14,Moreirense,Gil Vicente,2,0
26/10/14,Estoril,Belenenses,1,2
26/10/14,Nacional,Academica,1,0
26/10/14,Sp Braga,Benfica,2,1
26/10/14,Sp Lisbon,Maritimo,4,2
27/10/14,Rio Ave,Penafiel,3,2
31/10/14,Benfica,Rio Ave,1,0
01/11/14,Guimaraes,Sp Lisbon,3,0
01/11/14,Penafiel,Estoril,1,2
01/11/14,Porto,Nacional,2,0
02/11/14,Academica,Sp Braga,1,1
02/11/14,Gil Vicente,Arouca,1,1
02/11/14,Maritimo,Moreirense,1,2
02/11/14,Pacos Ferreira,Setubal,4,1
03/11/14,Belenenses,Boavista,3,1
07/11/14,Arouca,Guimaraes,1,2
08/11/14,Sp Braga,Gil Vicente,2,0
09/11/14,Boavista,Penafiel,1,0
09/11/14,Estoril,Porto,2,2
09/11/14,Moreirense,Belenenses,0,1
09/11/14,Nacional,Benfica,1,2
09/11/14,Setubal,Maritimo,1,0
09/11/14,Sp Lisbon,Pacos Ferreira,1,1
10/11/14,Rio Ave,Academica,3,0
28/11/14,Guimaraes,Moreirense,2,1
29/11/14,Belenenses,Arouca,0,0
29/11/14,Penafiel,Sp Braga,1,6
29/11/14,Sp Lisbon,Setubal,3,0
30/11/14,Academica,Benfica,0,2
30/11/14,Gil Vicente,Nacional,0,0
30/11/14,Maritimo,Boavista,4,0
30/11/14,Porto,Rio Ave,5,0
01/12/14,Pacos Ferreira,Estoril,1,1
05/12/14,Boavista,Sp Lisbon,1,3
06/12/14,Academica,Porto,0,3
06/12/14,Benfica,Belenenses,3,0
06/12/14,Estoril,Setubal,1,0
06/12/14,Rio Ave,Gil Vicente,0,0
07/12/14,Arouca,Penafiel,0,1
07/12/14,Moreirense,Pacos Ferreira,2,0
07/12/14,Sp Braga,Guimaraes,0,0
08/12/14,Nacional,Maritimo,3,0
12/12/14,Setubal,Boavista,0,1
13/12/14,Belenenses,Sp Braga,0,1
13/12/14,Gil Vicente,Academica,1,1
13/12/14,Pacos Ferreira,Arouca,2,1
13/12/14,Penafiel,Nacional,2,1
14/12/14,Guimaraes,Rio Ave,0,0
14/12/14,Maritimo,Estoril,0,0
14/12/14,Porto,Benfica,0,2
14/12/14,Sp Lisbon,Moreirense,1,1
